lyrics,song_name
"Died last night in my dreams.Walking the streets.Of some old ghost town.I tried to believe.In God and James Dean.But Hollywood sold out.Saw all of the saints.Lock up the gates.I could not enter.Walked into the flames.Called out your name.But there was no answer..And now I know my heart is a ghost town.My heart is a ghost town.My heart is a ghost town.My heart is a ghost town..Died last night in my dreams.All the machines.Had been disconnected.Time was thrown at the wind.And all of my friends.Had been disaffected.Now, I'm searching for trust.In a city of rust.A city of vampires.Tonight, Elvis is dead.And everyone's spread.And love is a satire.And now I know my heart is a ghost town.My heart is a ghost town.Ooh, my heart is a ghost town.My heart is a ghost town..There's no one left in the world.I'm gunslingin'.Don't give a fuck if I go.Down, down, down.I got a voice in my head that keeps singing.Oh, my heart is a ghost town..Ooh, my heart is a ghost town.Oh, my heart is a ghost town.(Said, my heart).My heart is a ghost town.My heart is a ghost town",Ghost Town
"Hey, slow it down.Whataya want from me?.Whataya want from me?.Yeah, I'm afraid.Whataya want from me?.Whataya want from me?..There might've been a time when I would give myself away.Oh, once upon a time, I didn't give a damn.But now, here we are.So whataya want from me?.Whataya want from me?..Just don't give up.I'm workin' it out.Please don't give in.I won't let you down.It messed me up.Need a second to breathe.Just keep coming around.Hey, whataya want from me?.Whataya want from me?.Whataya want from me?.Yeah (Yeah), it's plain to see (It's plain to see).That baby, you're beautiful.And there's nothing wrong with you (Nothing wrong with you).It's me, I'm a freak.But thanks for loving me (Yeah).'Cause you're doing it perfectly (Perfectly)..Yeah, there might've been a time when I would let you slip away.I wouldn't even try, but I think you could save my life..Just don't give up.I'm workin' it out.Please don't give in.I won't let you down.It messed me up.Need a second to breathe.Just keep coming around.Hey, whataya want from me? (Whataya want from me?).Whataya want from me?.Whataya want from me? (Whataya want from me?)..Just don't give up on me.I won't let you down.No, I won't let you down.So.Just don't give up.I'm workin' it out.Please don't give in.I won't let you down.It messed me up (It messed me up).Need a second to breathe.Just keep coming around.Whataya want from me?.Just don't give up.I'm workin' it out.Please don't give in.I won't let you down.It messed me up.Need a second to breathe.Just keep coming around.Hey, whataya want from me? (Whataya want from me?).Whataya want from me? (Whataya you want from me?).Whataya want from me? (Whataya you want from me?)",Whataya Want From Me
"Steel to my trembling lips.How did the night ever get like this?.One shot and the whiskey goes down, down, down.Bottom of the bottle hits.Waking up my mind as I throw a fit.The breaking is taking me down, down, down..My heart's beating faster, I know what I'm after.I've been standing here my whole life.Everything I've seen twice, now it's time I realize.It's spinning back around now, on this road I'm crawling.Save me cause I'm falling, now I can't seem to breathe right.'Cause I keep runnin', runnin', runnin', runnin'.Runnin', runnin', runnin', runnin'.Runnin' from my heart..Round and around I'd go, addicted to the numb.Living in the cold.The higher, the lower the down, down, down.Sick of being tired and sick of waiting.For another kind of fix.The damage is damning me down, down, down.My heart's beating faster, I know what I'm after.I've been standing here my whole life.Everything I've seen twice, now it's time I realize.It's spinning back around now, on this road I'm crawling.Save me cause I'm falling, now I can't seem to breathe right.'Cause I keep runnin', runnin', runnin', runnin'.Runnin', runnin', runnin', runnin'.Runnin' from my heart..Whoa, ohh.I'm coming alive.Whoa, ohh.Wake up now and live oh!..Whoa, ohh.I'm coming alive.A life that's always been a dream.Wake up now and live, oh!..I've been standing here my whole life.My heart's beating faster, I know what I'm after.I've been standing here my whole life.Everything I've seen twice, now it's time I realize.It's spinning back around now, on this road I'm crawling.Save me cause I'm falling, now I can't seem to breathe right.'Cause I keep runnin', runnin', runnin', runnin'.Runnin', runnin', runnin', runnin'.Runnin' from my heart",Runnin’
"I only trust my tarot cards.Pink flamingos in my yard.People think that I'm from Mars.Whatever.Only smoke that holy green.High above the big machine.Not attached to anything.Whatever..I got that magic you call ADD.Rep for them aliens different like me..If you think that what I do and how I live's too much.I don't really really give two fux.If you think that what I say and what I give ain't love.I don't really really give two fux.Here, right here, right here.Namaste right here, right here, right here.Ooh ooh ooh..I'm the center of a crowded room.I might as well be on the moon (Yeah, yeah).Searching for that one or two.Who get it (Oh, yeah).You see me talking to myself.Cause no one gets me like myself.I've been this way since I was twelve.I get it.I got that magic you call OCD.Rep for them aliens different like me..If you think that what I do and how I live's too much.I don't really really give two fux.If you think that what I say and what I give ain't love.I don't really really give two fux.Here, right here, right here.Namaste right here, right here, right here.Ooh ooh ooh...One shot for my enemies.In the end it ain't that deep (It ain't that deep, girl).Imma get my inner peace.In leather (Ow!)..If you think that what I do and how I live's too much (How I live).I don't really really give two fux (I don't give two fux).If you think that what I say and what I give ain't love (I don't give, I don't give, I don't give, oh yeah).I don't really really give two fux (I don't give two fux, oh oh oh oh).Here, right here, right here.Namaste right here, right here, right here (I don't give, I don't give, I don't give two fux).Ooh ooh ooh.Here, right here, right here.Namaste right here, right here, right here.Ooh ooh ooh",Two Fux
"Alone in the dark.Hole in my heart.Turn on the radio.And the words fall out, but they got no place to go..Wasted on you.High on the fumes.Know I should let you go.But the world won't stop and all I got is your ghost..Another day, another lonely night.I would do anything to have you by my side.Another day, another lonely night.Don't wanna throw away another lonely life..No time to sleep.All that I see.Are old memories of you.Yeah, I try my best, but there's no one left for me to lose..Tear in my eye.I drive through the night.As far as I can from you.And I don't give a fuck if the sun comes up.Yeah, it's just another.Another day, another lonely night.I would do anything to have you by my side.Another day, another lonely night (It's another lonely night).Don't wanna throw away another lonely life..No, I don't give a fuck if the sun comes up, yeah.It's just another..Another day, another lonely night.I would do anything to have you by my side (By my side).Another day, another lonely night (It's another lonely night).Don't wanna throw away another lonely life",Another Lonely Night
"Rainy nights I've known for a while.Getting away from myself again.I was alive but empty inside.Hole in my heart, never thought I'd mend..No, I really wasn't seeing all the things that I should see.Damn, I was getting jaded 'til the day you looked at me..'Cause you got those new eyes, honey.Virgin like blue skies, sunny.Everything that you try.Everything gets you high, baby.I've been so blind without your new eyes..Without your new eyes.Without your new eyes.Without your new eyes..This chemistry like candy to me.I'm addicted to the sweet, sleepy haze.So whisper at me and get me wavy.Naked and free, never no room for shame.No, I really wasn't seeing all the things that I should see.Damn, I was getting jaded 'til the day you looked at me..'Cause you got those new eyes, honey.Virgin like blue skies, sunny.Everything that you try.Everything gets you high, baby.I've been so blind without your new eyes..Without your new eyes.Without your new eyes.Without your new eyes...You got those new eyes, honey (High, baby).Virgin like blue skies, sunny (Oh, oh).Everything that you try.Everything gets you high, baby.I've been so blind without your new eyes..(High, baby).Without your new eyes (Oh, oh).Without your new eyes.Without your new eyes",New Eyes
"So hot, out the box.Can you pick up the pace?.Turn it up, heat it up, I need to be entertained.Push the limit, are you with it?.Baby, don't be afraid.I'ma hurt you real good, baby.Let's go, it's my show.Baby, do what I say.Don't trip off the glitz that I'm gonna display.I told ya I'm a hold you down until you're amazed.Give it to you till you're screamin' my name..No escaping when I start.Once I'm in, I own your heart.There's no way you'll ring the alarm.So hold on until it's over..Oh, do you know what you got into?.Can you handle what I'm about to do?.'Cause it's about to get rough for you.I'm here for your entertainment..Oh, I bet you thought that I was soft and sweet.You thought an angel swept you off your feet.But I'm about to turn up the heat.I'm here for your entertainment.It's alright, you'll be fine.Baby, I'm in control.Take the pain, take the pleasure.I'm the master of both.Close your eyes, not your mind.Let me into your soul.I'm a work it till you're totally blown..No escaping when I start.Once I'm in, I own your heart.There's no way you'll ring the alarm.So hold on until it's over..Oh, do you know what you got into?.Can you handle what I'm about to do?.'Cause it's about to get rough for you.I'm here for your entertainment..Oh, I bet you thought that I was soft and sweet.You thought an angel swept you off your feet.But I'm about to turn up the heat.I'm here for your entertainment.Oh, oh.Oh, oh.Entertainment.Oh oh... oh entertainment.I'm here for your entertainment.Ohh.Do you like what you see?.Whoa.Let me entertain you till you scream..Oh, do you know what you got into?.Can you handle what I'm about to do?.'Cause it's about to get rough for you.I'm here for your entertainment..Oh, I bet you thought that I was soft and sweet.You thought an angel swept you off your feet.But I'm about to turn up the heat.I'm here for your entertainment",For Your Entertainment
"So I got my boots on, got the right amount of leather.And I'm doin' me up with a black color liner.And I'm working my strut, but I know it don't matter.All we need in this world is some love..There's a thin line 'tween the dark side.And the light side, baby, tonight.It's a struggle, gotta rumble, tryna find it..But if I had you.That would be the only thing I'd ever need.Yeah, if I had you.The money, fame and fortune never could compete.If I had you.Life would be a party, it'd be ecstasy.Yeah, if I had you.Y-y-y-y-you, y-y-y-y-y-you, y-y-y-y-y-you.If I had you..From New York to LA, getting high, rock and rollin'.Get a room trash it up 'til it's ten in the morning.Girls in stripper heels, boys rollin' in Maserati's.What they need in this world is some love.There's a thin line 'tween the wild time.And a flat-line, baby, tonight.It's a struggle, gotta rumble, tryna find it..But if I had you.That would be the only thing I'd ever need.Yeah, if I had you.The money, fame and fortune never could compete.If I had you.Life would be a party, it'd be ecstasy.Yeah, if I had you.Y-y-y-y-you, y-y-y-y-y-you, y-y-y-y-y-you.If I had......The flashing of the lights.It might feel so good.But I've got you stuck on my mind, yeah!.The fashion and the stage.It might get me high.But it don't mean a thing tonight..That would be the only thing I'd ever need.Yeah, if I had you.The money, fame and fortune never could compete.If I had you.Life would be a party, it'd be ecstasy, yeah.If I had you, you-y-y-y-y-you.You-y-y-y-y-you, you-y-y-y-y-you, if I had you.That would be the only thing I'd ever need, yeah.If I had you.Then money, fame and fortune never could compete.(Never could compete with you) If I had you.Life would be a party, it'd be ecstasy (It'd be ecstasy with you).Yeah, if I had you, you y-y-y-y-you.You y-y-y-y-you, you y-y-y-y-you, if I had you",If I Had You
"There’s something missing, and I’m pissed.And I got something to say (Oh, yeah).All of the witches and the demons.Better get out my way (Ayy, ayy, yeah).Well, I get back up when I fall.Rip the paint from the wall.When I win, I'ma run and take the money.You try to put me in a box.Make me something I’m not.Don’t give a fuck, 'cause I’m gonna take back..My superpower.My superpower.My superpower.My superpower.My superpower.My super (Ooh) power..I know I'm not the only one.Who thinks this shit ain't okay (Oh, no).You kick us down in the dirt.But we ain't goin' away (Ayy, ayy, yeah).Well, I get back up when I fall.Rip the paint from the wall.When I win, I'ma run and take the money.You try to put me in a box.Make me something I’m not.Don’t give a fuck, 'cause I’m gonna take back..My superpower.My superpower.My superpower.My superpower (Ooh).My superpower (Ooh).My super (Oh, ooh) power..My superpower (Ooh).My superpower (Ooh).My super (Ooh) power.My superpower (Ooh).My superpower (Ooh).My super (Ooh) power..Don’t you wanna be?.Do you wanna be free?.Say, ""Oh, oh, oh, oh-oh"".Don’t you wanna be?.Do you wanna be free?.Say, ""Oh, oh, oh, oh-oh"" (Freedom, yeah!).Say, ""Oh, oh, oh, oh-oh"" (Freedom, yeah!).(Freedom).Say ""Oh, oh, oh, oh-oh"".(Yeah!).My super (Ooh) power.My superpower (Ooh).My superpower (Ooh).My super (Oh, ooh) power",Superpower
"When you're gone.When you're gone, it's like I'm in one second in time.I'm frozen.When you're gone.When you're gone, it's like I lost one half of my mind.Stolen..'Cause nobody feels you like I do.Nobody kills me like you do.Nothing I take can ever cut through.I'm in trouble.I look at myself and I don't know.How I'm stuck to you like velcro.Can't rip you off and go solo.I'm in trouble..I'm hooked on how you made.Me hooked, I'm gonna say it straight.I want you, I need you.I want you to take me underground.I'm hooked, I can't cut you off.In my blood, I'm gonna say it now.I want you, I need you.I want you to take me underground.I'm hooked on how you made.Me hooked, I'm gonna say it straight.I want you, I need you.I want you to take me underground.I'm hooked, I can't cut you off.In my blood, I'm gonna say it now.I want you, I need you.I want you to take me underground.When you go.When you go, it's like I put my life on the line.It's over.When you go.When you go, I'm tripping, but I'm pretending I'm fine.So dumb..'Cause nobody feels you like I do.Nobody kills me like you do.Nothing I take can ever cut through.I'm in trouble.I look at myself and I don't know.How I'm stuck to you like velcro.Can't rip you off and go solo.I'm in trouble..I'm hooked on how you made.Me hooked, I'm gonna say it straight.I want you, I need you.I want you to take me underground.I'm hooked, I can't cut you off.In my blood, I'm gonna say it now.I want you, I need you.I want you to take me underground.You got me hooked on you, now I'm in trouble.Trouble, trouble, yeah..I'm hooked on how you made.Me hooked, I'm gonna say it straight.I want you, I need you.I want you to take me underground.I'm hooked, I can't cut you off.In my blood, I'm gonna say it now.I want you, I need you.I want you to take me underground.I'm hooked on how you made.Me hooked, I'm gonna say it straight.I want you, I need you.I want you to take me underground.I'm hooked, I can't cut you off.In my blood, I'm gonna say it now.I want you, I need you.I want you to take me underground",Underground
